Kelas,Precision,Recall,F1-Score,Support
ayam_pop,0.8852459016393442,0.9557522123893806,0.9191489361702128,113
dendeng_batokok,0.8571428571428571,0.9357798165137615,0.8947368421052632,109
sate,0.9443155452436195,0.7650375939849624,0.8452751817237798,532
telur_dadar,0.8482142857142857,0.8189655172413793,0.8333333333333334,116
telur_balado,0.9390243902439024,0.6936936936936937,0.7979274611398963,111
pempek,0.7589743589743589,0.8,0.7789473684210526,555
gulai_tambusu,0.704,0.8543689320388349,0.7719298245614035,103
nasi_goreng,0.7483443708609272,0.7902097902097902,0.7687074829931972,572
gulai_tunjang,0.7522123893805309,0.7142857142857143,0.7327586206896551,119
ayam_goreng,0.8068181818181818,0.6635514018691588,0.7282051282051282,107
gado_gado,0.8137254901960784,0.6501305483028721,0.7227866473149492,383
gulai_ikan,0.76,0.6846846846846847,0.7203791469194313,111
bakso,0.6773547094188377,0.7477876106194691,0.7108307045215563,452
soto,0.6408529741863075,0.7897648686030428,0.7075588599752168,723
rendang,0.6546961325966851,0.6991150442477876,0.6761768901569187,339
rawon,0.7002518891687658,0.6361556064073226,0.6666666666666666,437
gudeg,0.6569037656903766,0.615686274509804,0.6356275303643725,510
bebek_betutu,0.6024340770791075,0.5766990291262136,0.5892857142857143,515
