Kelas,Precision,Recall,F1-Score,Support
dendeng_batokok,0.8771929824561403,0.9174311926605505,0.8968609865470852,109
telur_balado,0.84,0.7567567567567568,0.7962085308056872,111
pempek,0.7736220472440944,0.7081081081081081,0.7394167450611477,555
bakso,0.7363420427553444,0.6858407079646017,0.7101947308132875,452
sate,0.7531645569620253,0.6710526315789473,0.709741550695825,532
nasi_goreng,0.5987730061349693,0.8531468531468531,0.7036770007209805,572
rawon,0.5983471074380166,0.8283752860411899,0.6948176583493282,437
soto,0.7104874446085672,0.665283540802213,0.6871428571428572,723
ayam_pop,0.9661016949152542,0.504424778761062,0.6627906976744186,113
gado_gado,0.6157303370786517,0.7154046997389034,0.6618357487922706,383
rendang,0.6614906832298136,0.6283185840707964,0.6444780635400907,339
gudeg,0.625242718446602,0.6313725490196078,0.6282926829268293,510
ayam_goreng,0.5932203389830508,0.6542056074766355,0.6222222222222222,107
gulai_ikan,0.6391752577319587,0.5585585585585585,0.5961538461538461,111
bebek_betutu,0.5200803212851406,0.5029126213592233,0.5113524185587365,515
gulai_tambusu,0.8809523809523809,0.3592233009708738,0.5103448275862069,103
gulai_tunjang,0.9047619047619048,0.31932773109243695,0.4720496894409938,119
telur_dadar,0.6363636363636364,0.3017241379310345,0.4093567251461988,116
